date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:35:47	69083/69083	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:05:46%20GMT	https://www.tatvasoft.co.uk/services/mobile-application-development/	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/services/mobile-application-development/index.html	(from https://www.tatvasoft.co.uk/)
09:35:47	37594/37594	---M-Z	200	added ('OK')	image/webp	date:Mon,%2019%20Apr%202021%2009:30:22%20GMT	https://www.tatvasoft.co.uk/public/images/banner-image/home_banner-mob.webp	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/public/images/banner-image/home_banner-mob.webp	(from https://www.tatvasoft.co.uk/)
09:35:47	50855/50855	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:05:46%20GMT	https://www.tatvasoft.co.uk/technology/	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/technology/index.html	(from https://www.tatvasoft.co.uk/)
09:35:48	77145/77145	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:05:47%20GMT	https://www.tatvasoft.co.uk/technology/microsoft-dot-net-development/	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/technology/microsoft-dot-net-development/index.html	(from https://www.tatvasoft.co.uk/)
09:35:48	68009/68009	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:05:47%20GMT	https://www.tatvasoft.co.uk/technology/java-development/	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/technology/java-development/index.html	(from https://www.tatvasoft.co.uk/)
09:35:48	8710/8710	---M-Z	200	added ('OK')	image/webp	etag:W/%22PSA-H3yAxxHiIz-gzip%22	https://www.tatvasoft.co.uk/public/images/iso-certification.webp	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/public/images/iso-certification.webp	(from https://www.tatvasoft.co.uk/)
09:35:49	204144/204144	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2019%20Apr%202021%2009:30:22%20GMT	https://www.tatvasoft.co.uk/public/images/banner-image/home_banner.jpg	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/public/images/banner-image/home_banner.jpg	(from https://www.tatvasoft.co.uk/)
09:35:49	150002/150002	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2019%20Apr%202021%2009:30:22%20GMT	https://www.tatvasoft.co.uk/public/images/banner-image/home_banner-mob.jpg	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/public/images/banner-image/home_banner-mob.jpg	(from https://www.tatvasoft.co.uk/)
09:35:49	2790/2790	---M-Z	200	added ('OK')	image/webp	etag:W/%22PSA-hBc3OtwTd_-gzip%22	https://www.tatvasoft.co.uk/public/images/gdpr.webp	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/public/images/gdpr.webp	(from https://www.tatvasoft.co.uk/)
09:35:49	65984/65984	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:05:48%20GMT	https://www.tatvasoft.co.uk/technology/opensource-development/	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/technology/opensource-development/index.html	(from https://www.tatvasoft.co.uk/)
09:35:50	61820/61820	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:05:48%20GMT	https://www.tatvasoft.co.uk/technology/node-development/	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/technology/node-development/index.html	(from https://www.tatvasoft.co.uk/)
09:35:50	58218/58218	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:05:48%20GMT	https://www.tatvasoft.co.uk/technology/ror-development/	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/technology/ror-development/index.html	(from https://www.tatvasoft.co.uk/)
09:35:50	62945/62945	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:05:48%20GMT	https://www.tatvasoft.co.uk/technology/angular-development/	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/technology/angular-development/index.html	(from https://www.tatvasoft.co.uk/)
09:35:50	28996/28996	---M-Z	200	added ('OK')	image/webp	etag:W/%22PSA-XxabMo5Tnp-gzip%22	https://www.tatvasoft.co.uk/public/images/portfolio/injury-and-claims-management-system-thumb.webp	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/public/images/portfolio/injury-and-claims-management-system-thumb.webp	(from https://www.tatvasoft.co.uk/)
09:35:50	63938/63938	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:05:49%20GMT	https://www.tatvasoft.co.uk/technology/react-development/	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/technology/react-development/index.html	(from https://www.tatvasoft.co.uk/)
09:35:51	58923/58923	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:05:49%20GMT	https://www.tatvasoft.co.uk/technology/vue-development/	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/technology/vue-development/index.html	(from https://www.tatvasoft.co.uk/)
09:35:51	64268/64268	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:05:49%20GMT	https://www.tatvasoft.co.uk/technology/iphone-development/	C:/Users/mhdfa/Desktop/ITSolution/www.tatvasoft.co.uk/technology/iphone-development/index.html	(from https://www.tatvasoft.co.uk/)
